,District,Type,Building Classification,Total Units,Gross Income per SqFt,Expense per SqFt,Net Operating Income,Market Value per SqFt
0,Manhattan,Condominium,R9-CONDOMINIUM,42,36.51,9.37,990610,200.0
1,Manhattan,Condominium,R4-CONDOMINIUM,78,52.47,13.94,4870962,242.76
2,Manhattan,Condominium,RR-CONDOMINIUM,500,31.24,6.39,13767000,164.15
3,Manhattan,Condominium,R4-CONDOMINIUM,282,47.28,11.18,8991643,271.23
4,Manhattan,Condominium,R4-CONDOMINIUM,239,45.58,12.68,7221385,247.48
5,Manhattan,Condominium,R4-CONDOMINIUM,133,36.7,10.72,3629899,191.37
6,Manhattan,Condominium,R4-CONDOMINIUM,109,41.58,12.13,3092250,211.53
7,Manhattan,Condominium,R4-CONDOMINIUM,107,41.58,12.13,2576257,222.33
8,Manhattan,Condominium,R4-CONDOMINIUM,247,43.96,9.54,8806185,259.21
9,Manhattan,Condominium,R4-CONDOMINIUM,121,38.78,11.6,2884587,205.62
10,Manhattan,Condominium,R4-CONDOMINIUM,154,41.58,12.13,3710936,222.34
11,Manhattan,Condominium,R4-CONDOMINIUM,546,41.58,12.13,17264297,222.02
12,Manhattan,Condominium,R4-CONDOMINIUM,182,38.78,11.6,5661077,205.61
13,Manhattan,Condominium,R4-CONDOMINIUM,293,39.8,12.62,9281671,205.46
14,Manhattan,Condominium,R4-CONDOMINIUM,117,45.58,12.68,8808086,231.99
15,Manhattan,Condominium,R4-CONDOMINIUM,234,41.78,12.27,12743127,207.68
16,Manhattan,Condominium,R4-CONDOMINIUM,304,45.58,12.68,8483199,247.48
17,Manhattan,Condominium,R4-CONDOMINIUM,256,45.58,12.68,14291694,231.54
18,Manhattan,Condominium,R4-CONDOMINIUM,174,42.28,10.51,7552523,239.97
19,Manhattan,Condominium,R4-CONDOMINIUM,13,41.51,11.79,1106654,224.38
20,Manhattan,Condominium,R4-CONDOMINIUM,452,45.93,11.87,10790548,256.13
21,Manhattan,Condominium,R4-CONDOMINIUM,162,42.28,10.51,7348401,186.9
22,Manhattan,Condominium,R4-CONDOMINIUM,320,41.58,12.13,14069649,222.23
23,Manhattan,Condominium,R4-CONDOMINIUM,382,42.28,10.51,20616379,239.72
24,Manhattan,Condominium,R4-CONDOMINIUM,107,48.88,12.37,5824952,273.77
25,Manhattan,Condominium,RR-CONDOMINIUM,350,38.96,9.15,10339000,225.7
26,Manhattan,Condominium,R4-CONDOMINIUM,126,33.76,10.27,2276228,174.36
27,Manhattan,Condominium,R9-CONDOMINIUM,40,22.83,9.09,898400,100.51
28,Manhattan,Condominium,R4-CONDOMINIUM,31,42.06,14.34,562937,184.71
