date,visitors,new,core,hosts,views,depth
2015-08-16,82303621,12672237,75469872,33653994,3307290663,40.18
2015-08-15,79623339,12201787,75463898,32439241,3103349796,38.98
2015-08-14,92068453,13655412,75478907,34593153,3590119876,38.99
2015-08-13,94004592,14195982,76290993,35092508,3670134632,39.04
2015-08-12,94544328,14059964,76612717,35313246,3727339822,39.42
2015-08-11,94599077,13974130,76721925,35390232,3764860982,39.8
2015-08-10,95020884,14293835,76683327,35515416,3841795309,40.43
2015-08-09,81483460,12666797,75955323,33264126,3259661437,40.0
2015-08-08,79318656,12597188,76001445,32304874,3078581758,38.81
2015-08-07,91595040,13921666,76029916,34455077,3553353350,38.79
2015-08-06,93966178,14133198,77004773,35222535,3694394018,39.32
2015-08-05,95032092,14451218,77161333,35579759,3746795226,39.43
2015-08-04,96396376,14806618,76532393,35539356,3612471965,37.48
2015-08-03,95039556,14568299,75307733,35320685,3823316494,40.23
2015-08-02,82052066,12742745,74095988,33225435,3296503266,40.18
2015-08-01,79771690,12455491,74071604,32193002,3112902559,39.02
2015-07-31,92886151,14005898,74037335,34852475,3600038897,38.76
2015-07-30,95157466,14505730,74670307,35624192,3745934724,39.37
2015-07-29,95540746,14540667,74907375,35687208,3785832433,39.63
2015-07-28,95374770,13974189,75015386,35514361,3857104568,40.44
2015-07-27,95216773,14158889,74980117,35047109,3881597313,40.77
2015-07-26,80943501,11925826,74486892,32587845,3299594283,40.76
2015-07-25,78437484,11485312,74616282,31652276,3061814146,39.04
2015-07-24,91250551,12951188,74699590,34073244,3561909904,39.03
2015-07-23,93893800,13510959,75453228,34968943,3714112297,39.56
2015-07-22,94120262,13264626,75859604,35119089,3757193390,39.92
2015-07-21,95278948,13776069,76025795,35342452,3815023337,40.04
2015-07-20,95645657,14180487,76206606,35358523,3869159041,40.45
2015-07-19,81464626,12059734,77375970,32773030,3275685765,40.21
2015-07-18,78694212,11639708,77978502,31772979,3069162043,39.0
2015-07-17,90915235,13113883,78225917,34174924,3530638391,38.83
2015-07-16,94749646,14395316,79108314,35005648,3683157513,38.87
2015-07-15,95816801,14931421,79535760,35238891,3771679401,39.36
2015-07-14,97072433,16677879,79702901,35497326,3840963095,39.57
2015-07-13,99852931,18017931,79910544,35592858,3978284889,39.84
2015-07-12,83271335,12064766,79570867,33450553,3449092010,41.42
2015-07-11,79976078,11247950,79755390,32260842,3213882111,40.19
2015-07-10,92317105,12801278,79773873,34494051,3635237523,39.38
2015-07-09,94258347,13334261,80349202,35113043,3733330815,39.61
2015-07-08,94629573,12846022,80788461,35395626,3792016845,40.07
2015-07-07,95619537,13205303,80996099,36025495,3882952623,40.61
2015-07-06,94594046,13001264,81223560,35243682,3874320053,40.96
2015-07-05,81342710,11148377,80930649,32813532,3363317037,41.35
2015-07-04,79259329,11149624,81200614,31946181,3155865613,39.82
2015-07-03,91820166,12513442,81348796,34305680,3619689130,39.42
2015-07-02,94367234,12814431,82096483,34977468,3767730285,39.93
2015-07-01,94987596,13068888,82501414,35118505,3792367674,39.92
2015-06-30,96414605,13064631,82801934,35727966,3914707125,40.6
2015-06-29,95976831,13232159,82822849,35413757,3998117326,41.66
2015-06-28,82757377,11493802,82436567,33049647,3455112151,41.75
2015-06-27,80971579,11382281,82777810,32310510,3259774111,40.26
2015-06-26,94231988,12980568,82909931,35569955,3727029819,39.55
2015-06-25,96682124,13359019,83510819,35454537,3867875206,40.01
2015-06-24,96245307,13108083,83885903,35636511,3851119071,40.01
